😀	елмаю,шатлык,көлү,бит
💥	шартлау,бум,каты
🔥	ут,кайнар,яндыру,кызык
✨	ялтырау,йолдызчыклар
🎉	бәйрәм,куаныч,салют
🎁	бүләк,сюрприз,төргәк
🎂	торт,туган көн,бәйрәм
🐱	мәче,йорт,мырлавык
🐶	эт,дус,йорт
🦊	төлке,уян,кызыл
🐻	аю,урман,бал
🐼	панда,аю,кытай
🐯	юлбарыс,урман,куәт
🦁	арслан,патша,куәт
🐮	сыер,мөгез,сөт
🐷	дуңгыз,чучка,авыл
🐸	бака,су,сикерү
🐰	куян,колак,сикерү
🐔	тавык,авыл,йомырка
🐧	пингвин,боз,кош
🐦	кош,очу,канат
🦅	бөркет,очу,кош
🦉	ябалак,төн,кош
🐺	бүре,урман,кырыс
🐴	ат,йөгерү,спорт
🦄	бермөгез,тылсым,әкият
🐝	бал корты,бал,эш,җәй
🦋	күбәләк,җәй,чәчәк
🐛	корт,яшел
🐞	хан кызы,кызыл,корт
🐍	елан,сөйрәлү,куркыныч
🐙	сигезаяк,диңгез,су
🐟	балык,елга,су
🐬	дельфин,диңгез,уен
🐳	кит,диңгез,зур
🦈	акула,диңгез,куркыныч
🍎	алма,кызыл,җимеш
🍊	мандарин,кызгылт,җимеш
🍋	лимон,сары,әче
🍌	банан,сары,җимеш
🍉	карбыз,җәй,тәмле
🍇	йөзем,җимеш,җәй
🍓	җиләк,җәй,тәмле
🍒	чия,җиләк,җәй
🍑	шәфтәле,җимеш,җәй
🍅	помидор,кызыл,яшелчә
🥕	кишер,яшелчә,куян
🥔	бәрәңге,яшелчә,казан
🍞	икмәк,ипи,аш
🍗	тавык,ит,аш
🍕	пицца,сыр,тәмле
🍳	йомырка,иртә,аш
🥗	салат,яшелчә,сәламәтлек
🍿	попкорн,кино,тәмле
🍜	лапша,аш,кайнар
🍣	суши,балык,дөге
🍦	туңдырма,тәмле,җәй,салкын
🍪	печенье,татлы,чәй
🍰	торт,татлы,бәйрәм
🍫	шоколад,татлы
🍬	кәмпит,татлы,шикәр
🍭	кәмпит,татлы,таяк
🍯	бал,татлы,бал корты
🥛	сөт,аш,ак
☕	кофе,чәй,кайнар,иртә
🍵	чәй,кайнар,кунак
🍾	шампанский,бәйрәм,яңа ел
🍺	пиво,кружка
⚽	уен,футбол,туп,спорт
🏀	баскетбол,туп,уен,спорт
🎮	уен,приставка,джойстик
🎲	уен,зар,бәхет
🎯	максат,уен,төгәл
🎣	балык тоту,елга,ял
🥇	беренче,җиңү,медаль
🏆	кубок,җиңү,чемпион,бүләк
🎿	чаңгы,кар,кыш
🚗	машина,юл,сәяхәт
🚌	автобус,юл,шәһәр
🚑	ашыгыч ярдәм,авыру,машина
🚒	ут сүндерү,машина,янгын
🚲	велосипед,юл,спорт
🚂	поезд,юл,сәяхәт,тимер юл
✈️	очкыч,сәяхәт,һава,очу
🚀	ракета,галәм,очу
🏠	өй,йорт,туган як
🏡	өй,йорт,авыл,бакча
🏥	хастаханә,табиб,авыру
🏫	мәктәп,уку,бала
🕌	мәчет,дин,намаз
☀️	кояш,җәй,эссе,нур
🌙	ай,төн,йокы
⭐	йолдыз,күк,төн
🌈	салават күпере,яңгыр,төсләр
☁️	болыт,күк,яңгыр
🌧️	яңгыр,болыт,көз
❄️	кар,кыш,салкын,кар бөртеге
⛄	кар бабасы,кыш,кар,уен
🌊	диңгез,дулкын,су,җәй
🌸	чәчәк,яз,алсу
🌹	гөл,чәчәк,мәхәббәт,кызыл
🌷	лалә,яз,чәчәк
🌻	кояш чәчәге,җәй,сары
🌱	үсемлек,яз,яшел,үсү
🌲	нарат,урман,кыш
🌳	агач,урман,җәй
🍁	яфрак,көз,сары
🍄	гөмбә,урман,көз
⚡	яшен,электр,тиз
📖	китап,уку,мәктәп
📚	китаплар,уку,китапханә
📝	язу,кәгазь,исемлек
🔍	эзләү,зурайту
🔑	ачкыч,йозак,өй
📱	телефон,шалтырату,элемтә
💻	санак,эш,программа
💡	лампа,идея,якты
💰	акча,байлык
💍	боҗра,туй,алтын
💼	эш,портфель,офис,эшлекле
💌	хат,мәхәббәт,йөрәк
📅	тәкъвим,көн,план
🔔	кыңгырау,тавыш,хәбәр
⏰	уяну,сәгать,иртә
🎵	көй,җыр,тавыш
🎤	җыр,җырлау,микрофон,сәхнә
🎧	җыр,колак,тынлау
✅	билге,дөрес,килешү,эшләнде
❌	хата,юк,кире
❓	сорау,нигә,белмәү
❗	мөһим,игътибар

# --- Миссия 4 (M4a, 2026-09-02): полное покрытие частотных понятий ---
🐵	маймыл
🐒	маймыл
🦍	горилла,маймыл
🦧	орангутан,маймыл
🐕	эт
🦮	эт,юл күрсәтүче
🐩	пудель,эт
🦝	енот
🐈	мәче,песи
🐅	юлбарыс
🐆	барыс,леопард
🫎	болан
🫏	эшәк
🐎	ат
🦓	зебра,ат
🦌	болан
🦬	бизон
🐂	үгез
🐃	буйвол
🐄	сыер
🐖	дуңгыз
🐗	кабан
🐽	дуңгыз,борын
🐏	кучкар
🐑	сарык
🐐	кәҗә
🐪	дөя
🐫	дөя
🦙	лама
🦒	жираф
🐘	фил
🦣	мамонт
🦏	мөгезборын
🦛	бегемот
🐭	тычкан
🐁	тычкан
🐀	күсе
🐹	хомяк,тычкан
🐇	куян
🐿️	тиен,бурундук
🦫	бобр
🦔	керпе
🐨	коала
🦥	ялкау
🦦	выдра
🦨	скунс
🦘	кенгуру
🦡	барсук
🐾	эз,эзләр
🦃	индюк
🐓	әтәч,этэч
🐣	чепчек,йомырка
🐤	чепчек
🐥	чепчек
🕊️	күгәрчен
🦆	үрдәк
🦢	аккош
🪶	кау
🦩	фламинго
🦚	тауыс
🦜	тутыкош
🪽	канат
🪿	каз
🐊	крокодил
🐢	ташбака
🦎	кертмә
🐲	аждаһа
🐉	аждаһа
🦕	динозавр
🦖	динозавр
🐋	кит
🦭	тюлень
🐠	балык
🐡	балык
🐚	сула
🪸	мәрҗән,коралл
🪼	медуза
🐌	буа
🐜	кырмыска
🪲	коңгыз
🪳	таракан
🕷️	үрмәкүч
🕸️	үрмәкүч үбе,челтәр
🦂	чаян
🦟	чебен
🪰	чебен
🪱	корт
🦠	микроб
💐	чәчәкләр,букет
💮	чәчәк
🪷	лотос,чәчәк
🏵️	чәчәк
🥀	сулган чәчәк
🌺	чәчәк
🌼	чәчәк
🪻	чәчәк
🪴	үсемлек,чәчәк
🌴	пальма
🌵	кактус
🌾	басак,иген
🌿	яфрак
☘️	яфрак
🍀	яфрак,бәхет
🍂	яфрак,көз
🍃	яфрак,җил
🪹	оя
🪺	оя,йомырка
🍈	кауын
🍍	ананас
🥭	манго
🍏	алма
🍐	алмурт
🫐	җиләк
🥝	киви
🫒	зәйтүн
🥥	кокос
🥑	авокадо
🍆	баклажан
🌽	кукуруза
🌶️	ачы борыч,борыч
🫑	борыч
🥒	кыяр
🥬	салат,яшелчә
🥦	кәбестә
🧄	сарымсак
🧅	суган
🥜	арахис
🫘	борчак
🌰	каштан
🫚	имбирь
🫛	борчак
🥐	круассан
🥖	ипи
🫓	ипи
🥨	крендель
🥯	бублик
🥞	куймак
🧇	вафля
🧀	сыр
🍖	ит
🥩	ит
🥓	бекон,ит
🍔	гамбургер
🍟	бәрәңге
🌭	хот-дог
🥪	ботерброд,сэндвич
🌮	тако
🌯	буррито
🫔	тамале
🥙	шаурма
🧆	фалафель
🥚	йомырка
🥘	аш,казан
🍲	аш,шолпа
🫕	фондю
🥣	аш,савыт
🧈	май
🧂	тоз
🥫	консерва
🍱	аш
🍘	крекер
🍙	дөге
🍚	дөге,ботка
🍛	дөге,аш
🍝	лапша,спагетти
🍠	бәрәңге
🍢	аш
🍤	креветка
🍥	балык
🥮	бәлеш
🍡	татлы
🥟	пилмән
🥠	печенье
🥡	аш
🦀	краб
🦞	омар
🦐	креветка
🦑	кальмар
🦪	устрица
🍧	туңдырма
🍨	туңдырма
🍩	пончик
🧁	татлы,кекс
🥧	бәлеш,пирог
🍮	пудинг,татлы
🍼	шешә,сөт
🫖	чәйнек
🍶	шешә
🍷	шәраб
🍸	коктейль
🍹	коктейль
🍻	пиво
🥂	шампанский,бәйрәм
🥃	виски
🫗	су,стакан
🥤	эчемлек,сок
🧋	чәй
🧃	сок
🧉	чәй
🧊	боз
🥢	таяк
🍽️	аш,савыт
🍴	аш,вилка
🥄	калак
🔪	пычак
🫙	савыт,банка
🏺	савыт
😃	көлү,шатлык
😁	елмаю,шатлык
😆	көлү
😅	көлү
🙃	шаян
🫠	эреү
😗	үбү
☺️	елмаю
😚	үбү
😙	үбү
🥲	елмаю,яшь
😋	тәмле
😛	тел
🤪	шаян,кызык
😝	тел
🤑	акча
🫢	гаҗәп,авыз
🫣	карау,оялу
🫡	исәнләшү,хәрби
🤐	сер,тынлык
🤨	ышанмау
😐	бит,битараф
😑	бит,тын
😶	бит
🫥	бит
😏	елмаю
😒	күңелсез
🙄	күз,күңелсез
😬	елмаю
🤥	ялган,ялганчы
🫨	калтырау
😌	тыныч,рәхәт
😔	уйчан,моңсу
😪	йокы
🤤	селәгәй
🤕	авыру,баш
🤢	косу
🤮	косу
🤧	авыру
🥵	эссе
🥴	баш әйләнү
😵	баш әйләнү
🤠	ковбой,эшләпә
🥸	маска,күзлек
🤓	күзлек
🧐	күзлек,тикшерү
😕	аптырау
🫤	авыз
😟	борчылу
🙁	моңсу
☹️	моңсу,кайгы
😮	гаҗәпләнү
😯	гаҗәп
😲	шашу
😳	оялу,кызару
🥹	яшь,дулкынлану
😦	гаҗәпләнү
😧	кайгы,азап
😨	курку
😰	борчылу,тир
😥	рәхәт
😖	буталу
😣	түземлек
😓	тир,борчылу
😩	арыганлык,хәлсезлек
😫	арыганлык
🥱	еснәү,йокы
😤	өмет
😠	ачу
😈	шайтан
👿	шайтан
☠️	баш сөяге,үлем
👹	див
👺	див
👽	галәм
👾	див,уен
😸	мәче,көлү
😹	мәче,көлү
😼	мәче,елмаю
😽	мәче,үбү
🙀	мәче,шашу
😿	мәче,елау
😾	мәче,ачу
🙉	маймыл,ишетмәү
🙊	маймыл,сер
💘	йөрәк,ук
💝	йөрәк,бүләк
💖	йөрәк,ялтырау
💗	йөрәк
💓	йөрәк
💞	йөрәкләр
💟	йөрәк
❣️	йөрәк
🩷	йөрәк,алсу
🧡	йөрәк,кызгылт
🩵	йөрәк,зәңгәр
🤎	йөрәк,көрән
🩶	йөрәк,соры
💋	үбү
💢	ачу
💫	йолдыз,баш әйләнү
💦	тир,су
💨	җил,качу
🕳️	тишек
💬	сүз,сөйләм
🗨️	сүз
🗯️	ачу,сүз
💭	уй
💤	йокы
🤚	кул
🖐️	кул,алакан
✋	кул,алакан
🖖	кул,бармаклар
🫱	кул
🫲	кул
🫳	кул,алакан
🫴	кул,алакан
🫷	кул
🫸	кул
🤌	бармаклар
🤏	аз,бармаклар
🫰	акча,бармаклар
🤟	сөю,бармаклар
🤘	мөгез,рок
🤙	шалтырат,кул
👈	бармак,сул
👉	бармак,уң
👆	бармак,өскә
🖕	бармак
👇	бармак,аска
☝️	бармак
🫵	бармак,син
✊	йодрык
👊	йодрык
🤛	йодрык
🤜	йодрык
🫶	йөрәк,куллар
👐	куллар
🤲	дога,куллар
✍️	язу,кул
💅	тырнак
🤳	селфи
🦾	кул,робот
🦿	аяк,робот
🦵	аяк
🦶	аяк
👂	колак
🦻	колак
👃	борын
🧠	ми
🫀	йөрәк
🫁	үпкә
🦷	теш
🦴	сөяк
👁️	күз
👅	тел
👄	авыз
🫦	ирен
🧒	бала
👦	малай
👧	кыз
🧑	кеше
👱	кеше,чәч
🧔	сакал,ир-ат
🧓	карт,олы
🙍	моңсу,кеше
🙎	рәнҗү,кеше
🙅	юк,тыю
🙆	әйе,ризалык
💁	кул,кеше
🙋	кул,кеше
🧏	ишетмәү
🙇	баш ию
🤦	кеше
👮	полиция
🕵️	детектив
💂	сакчы
🥷	ниндзя
👷	төзүче,каска
🫅	патша,таҗ
🤴	принц
👸	принцесса
👳	сәлдә
👲	кытай
🧕	яулык
🤵	кияү
👰	кәләш
🤰	йөкле
🫃	йөкле
🫄	йөкле
🤱	имезү,бала
👼	фәрештә
🤶	кыш әбие
🦸	батыр
🦹	див
🧙	тылсымчы
🧚	пәри
🧛	вампир
🧜	русалка
🧝	эльф
🧞	җин
🧟	зомби
🧌	тролль
💆	массаж
💇	чәч кисү
🚶	йөрү,кеше
🧍	тору,кеше
🧎	тезләнү
🕺	бию
🕴️	эшлекле
👯	бию,кызлар
🧖	монча
🧗	тау
🤺	кылыч
🏇	ат,ярыш
⛷️	чаңгы
🏂	сноуборд
🏌️	гольф
🏄	серфинг
🚣	көймә
🏊	йөзү
⛹️	туп,уен
🏋️	авырлык,спорт
🚴	велосипед
🚵	велосипед,тау
🤸	акробат
🤼	көрәш
🤽	су,туп
🤾	туп,уен
🤹	жонглер
🧘	йога
🛀	монча,ванна
🛌	йокы,карават
👭	хатын-кызлар
👫	пар
👬	ир-атлар
💏	үбү
💑	йөрәк,пар
🗣️	сөйләү
👤	кеше
👥	кешеләр
🫂	кочаклау
👪	гаилә
👣	эзләр
🎃	кабак
🎄	нарат,яңа ел
🎆	салют
🎇	салют
🧨	салют
🎈	шар
🎊	бәйрәм
🎋	бамбук
🎍	бамбук
🎎	курчак
🎏	балык
🎐	җил
🎑	ай
🧧	конверт,бүләк
🎀	бант
🎗️	тасма
🎟️	билет
🎫	билет
🎖️	медаль
🏅	медаль
🥈	медаль
🥉	медаль
⚾	бейсбол,туп
🥎	софтбол,туп
🏐	волейбол,туп
🏈	футбол,туп
🏉	регби,туп
🎾	теннис
🥏	диск
🎳	боулинг
🏏	крикет
🏑	хоккей
🏒	хоккей
🥍	лакросс
🏓	теннис
🏸	бадминтон
🥊	бокс,бияләй
🥋	көрәш
🥅	капка,спорт
⛳	гольф
⛸️	көнәк
🤿	су,маска
🎽	йөгерү,спорт
🛷	шана
🥌	керлинг
🪀	уенчык
🪁	җил,уенчык
🔫	пистолет,су
🎱	бильярд
🔮	шар,тылсым
🪄	тылсым,таяк
🕹️	уен,джойстик
🎰	уен
🧩	пазл
🧸	аю,уенчык
🪅	бәйрәм
🪩	шар,бию
🪆	матрешка
♠️	карта
♥️	карта,йөрәк
♦️	карта
♣️	карта
♟️	шахмат
🃏	карта
🀄	маджонг
🎴	карта
🎭	театр,маска
🖼️	рәсем
🎨	рәсем,буяу
🧵	җеп
🪡	энә
🧶	җеп
🪢	төен
👓	күзлек
🕶️	күзлек,кояш
🥽	күзлек
🥼	халат
🦺	жилет
👔	галстук
👕	футболка,күлмәк
👖	джинсы,чалбар
🧣	шарф
🧤	бияләй
🧥	пальто
🧦	оекбаш
👗	күлмәк
👘	кимоно
🥻	сари
🩱	купальник
🩲	кеем
🩳	шорты
👙	купальник
👚	күлмәк
🪭	җилпүеч
👛	капчык
👜	сумка
👝	сумка
🛍️	сумка
🎒	рюкзак
🩴	тапочка
👞	ботинка
👟	кроссовка
🥾	ботинка,итек
🥿	туфли
👠	туфли,такай
👡	сандал
🩰	балет
👢	итек
🪮	тарак
👑	таҗ
👒	эшләпә
🎩	эшләпә
🎓	эшләпә,уку
🧢	кепка
🪖	каска
⛑️	каска
📿	тәсбех
💄	помада
💎	энҗе,алмаз
🔇	тавышсыз
🔈	тавыш
🔉	тавыш
🔊	тавыш
📢	мегафон,тавыш
📣	мегафон
📯	корнай
🔕	кыңгырау
🎼	нота
🎶	нота,көй
🎙️	микрофон
🎚️	көйләү
🎛️	көйләү
📻	радио
🎷	саксофон
🪗	гармун
🎸	гитара
🎹	пианино
🎺	труба
🎻	скрипка
🪕	банджо
🥁	барабан
🪘	барабан
🪇	маракас
🪈	курай,флейта
📲	телефон
☎️	телефон
📞	телефон
📟	пейджер
📠	факс
🔋	батарея
🪫	батарея
🔌	вилка,электр
🖥️	санак
🖨️	принтер
⌨️	клавиатура
🖱️	тычкан
🖲️	трекбол
💽	диск
💾	дискета
💿	диск
📀	диск
🧮	счет
🎥	камера,кино
🎞️	кино
📽️	проектор,кино
🎬	кино
📺	телевизор
📷	фотоаппарат
📸	фотоаппарат
📹	камера
📼	кассета
🔎	зурайту,эзләү
🕯️	шәм
🔦	фонарь,яктырткыч
🏮	фонарь
🪔	лампа
📔	дәфтәр
📕	китап
📗	китап
📘	китап
📙	китап
📓	дәфтәр
📒	дәфтәр
📃	кәгазь,бит
📜	кәгазь
📄	кәгазь,бит
📰	гәҗит
🗞️	гәҗит
📑	билге
🔖	билге,закладка
🏷️	ярлык
🪙	тиен,акча
💴	акча
💵	акча,доллар
💶	акча,евро
💷	акча
💸	акча
💳	карта,акча
🧾	чек
💹	биржа
✉️	хат,конверт
📧	хат
📨	хат
📩	хат
📤	хат
📥	хат
📦	төргәк,пакет
📫	почта
📪	почта
📬	почта
📭	почта
📮	почта
🗳️	сайлау,тавыш
✏️	каләм
✒️	каләм
🖋️	каләм
🖊️	ручка,каләм
🖌️	буяу,кисть
🖍️	буяу
📁	папка
📂	папка
🗂️	папка
📆	тәкъвим
🗒️	дәфтәр
🗓️	тәкъвим
📇	дәфтәр
📈	үсү,диаграмма
📉	диаграмма
📊	диаграмма
📋	исемлек
📌	элмәк
📍	элмәк,урын
📎	скрепка
🖇️	скрепка
📏	сызгыч
📐	сызгыч
✂️	кайчы
🗃️	тартма
🗄️	шкаф
🗑️	чүп
🔒	йозак
🔓	йозак,ачык
🔏	йозак
🔐	йозак,ачкыч
🗝️	ачкыч
🔨	чүкеч
🪓	балта
⛏️	киркә
⚒️	чүкеч
🛠️	чүкеч,ачкыч
🗡️	хәнҗәр
⚔️	кылыч
💣	бомба
🪃	бумеранг
🏹	җәя,ук
🛡️	калкан
🪚	ара
🔧	ачкыч
🪛	отвертка
🔩	болт
⚙️	шестерня
🗜️	пресс
⚖️	таразы
🦯	таяк
🔗	сылтама
⛓️	чылбыр
🪝	кармак
🧰	инструмент
🧲	магнит
🪜	баскыч
⚗️	химия
🧪	химия
🧫	лаборатория
🧬	ген
🔬	микроскоп
🔭	телескоп
📡	антенна
💉	шприц
🩸	кан
💊	дару
🩹	пластырь
🩼	таяк
🩺	стетоскоп,табиб
🩻	рентген
🚪	ишек
🛗	лифт
🪞	көзге
🪟	тәрәзә
🛏️	карават
🛋️	диван
🪑	урындык
🚽	унитаз
🪠	вантуз
🚿	душ
🛁	ванна
🪤	тычкан,капкан
🪒	бритва
🧴	крем
🧷	күзәнәк
🧹	сыпыргыч
🧺	кәрзин
🧻	кәгазь
🪣	чиләк
🧼	сабын
🫧	кабарчык
🪥	теш,щетка
🧽	губка
🧯	ут сүндерү
🛒	арба
🚬	тәмәке
⚰️	җеназа
🪦	кабер
⚱️	урна
🧿	күз
🪬	кул
🗿	таш,истукан
🪧	плакат
🪪	таныклык
🌍	җир,дөнья
🌎	җир,дөнья
🌏	җир,дөнья
🌐	җир,интернет
🗺️	карта
🗾	япония,карта
🧭	компас
🏔️	тау,кар
⛰️	тау
🌋	вулкан
🗻	тау
🏕️	палатка
🏖️	пляж,диңгез
🏜️	чүл
🏝️	утрау
🏞️	парк,табигать
🏟️	стадион
🏛️	бина
🏗️	төзелеш
🧱	кирпеч
🪨	таш
🪵	агач
🛖	өй
🏘️	өйләр
🏚️	өй,иске
🏢	бина,офис
🏣	почта
🏤	почта
🏦	банк
🏨	кунакханә
🏩	кунакханә
🏪	кибет
🏬	кибет
🏭	завод
🏯	сарай
🏰	сарай
💒	туй
🗼	манара
🗽	статуя
⛪	чиркәү
🛕	гыйбадәтханә
🕍	синагога
⛩️	гыйбадәтханә
🕋	кәгъба
⛲	чишмә,фонтан
⛺	палатка
🌁	томан
🌃	төн,йолдыз
🏙️	шәһәр
🌄	таң,тау
🌅	таң,кояш
🌆	шәһәр,кич
🌇	кич,кояш
🌉	күпер
♨️	кайнар су
🎠	ат,карусель
🛝	горка,уен
🎡	карусель
🎢	карусель
💈	чәч кисү
🎪	цирк
🚃	вагон,поезд
🚄	поезд
🚅	поезд
🚆	поезд
🚇	метро
🚈	поезд
🚉	вокзал,поезд
🚊	трамвай
🚝	поезд
🚞	поезд,тау
🚋	трамвай
🚍	автобус
🚎	троллейбус
🚐	автобус
🚓	полиция,машина
🚔	полиция
🚕	такси
🚖	такси
🚘	машина
🚙	машина,джип
🛻	машина,пикап
🚚	йөк машинасы
🚛	йөк машинасы
🚜	трактор
🏎️	машина,ярыш
🏍️	мотоцикл
🛵	мопед
🦽	арба
🦼	арба
🛺	рикша
🛴	самокат
🛹	скейтборд
🛼	ролик
🚏	тукталыш
🛣️	юл
🛤️	тимер юл
🛢️	бочка
⛽	заправка,бензин
🛞	тәгәрмәч
🚨	мигалка,полиция
🚥	светофор
🚦	светофор
🛑	тукталыш,стоп
🚧	төзелеш
⚓	якорь
🛟	боҗра,ярдәм
⛵	җилкән,көймә
🛶	көймә
🚤	көймә,катер
🛳️	корабль
⛴️	паром
🛥️	көймә
🚢	корабль
🛩️	очкыч
🛫	очкыч,очу
🛬	очкыч,кону
🪂	парашют
💺	урындык
🚁	вертолет
🚟	поезд
🚠	вагон
🚡	вагон
🛰️	иярчен,галәм
🛸	галәм
🛎️	кыңгырау
🧳	чамадан,багаж
⌛	сәгать
⏳	сәгать
⌚	сәгать
⏱️	сәгать
⏲️	сәгать
🕰️	сәгать
🕛	сәгать
🕧	сәгать
🕐	сәгать
🕜	сәгать
🕑	сәгать
🕝	сәгать
🕒	сәгать
🕞	сәгать
🕓	сәгать
🕟	сәгать
🕔	сәгать
🕠	сәгать
🕕	сәгать
🕡	сәгать
🕖	сәгать
🕢	сәгать
🕗	сәгать
🕣	сәгать
🕘	сәгать
🕤	сәгать
🕙	сәгать
🕥	сәгать
🕚	сәгать
🕦	сәгать
🌑	ай
🌒	ай
🌓	ай
🌔	ай
🌕	ай
🌖	ай
🌗	ай
🌘	ай
🌚	ай
🌛	ай
🌜	ай
🌡️	термометр,эссе
🌝	ай
🌞	кояш
🪐	планета
🌟	йолдыз
🌠	йолдыз
🌌	йолдызлар,күк
⛅	болыт,кояш
⛈️	яшен,яңгыр
🌤️	болыт,кояш
🌥️	болыт
🌦️	яңгыр,кояш
🌨️	кар
🌩️	яшен
🌪️	давыл
🌫️	томан
🌬️	җил
🌀	циклон
🌂	чатыр
☂️	чатыр
☔	чатыр,яңгыр
⛱️	чатыр,пляж
☃️	кар бабасы
☄️	комета
💧	тамчы,су
🏁	байрак,ярыш
🚩	байрак
🎌	байрак
🏴	байрак,кара
🏳️	байрак,ак
🏧	банкомат
🚮	чүп
🚰	су
♿	арба
🚹	бәдрәф
🚺	бәдрәф
🚻	бәдрәф
🚼	бала
🚾	бәдрәф
🛂	паспорт
🛃	таможня
🛄	багаж
🛅	багаж
⚠️	игътибар,саклык
🚸	балалар
⛔	тыю
🚫	тыелган
🚳	велосипед,тыелган
🚭	тәмәке,тыелган
🚯	чүп,тыелган
🚱	су
🚷	тыелган
📵	телефон,тыелган
🔞	тыю
☢️	радиация
☣️	куркыныч
⬆️	өскә,ук
➡️	уңга,ук
⬇️	аска,ук
⬅️	сулга,ук
🔃	кабатлау
🔄	кабатлау
🔙	кире
🔚	ахыр
🔜	тиздән
🔝	өскә
🛐	дин
⚛️	атом
🕉️	дин
✡️	дин
☸️	дин
☯️	дин
✝️	тәре
☦️	тәре
☪️	ислам,ай
☮️	тынычлык
🕎	дин
🔯	йолдыз
🪯	дин
🔀	катнаштыру
🔁	кабатлау
🔂	кабатлау
▶️	уйнату
⏩	алга
⏭️	алга
⏯️	уйнату
◀️	кире
⏪	кире
⏮️	кире
🔼	өскә
⏫	өскә
🔽	аска
⏬	аска
⏸️	пауза
⏹️	туктату
⏺️	яздыру
⏏️	чыгару
🎦	кино
🔅	якты
🔆	якты
📶	сигнал
🛜	элемтә
📳	вибрация
📴	телефон
♀️	хатын-кыз
♂️	ир-ат
➕	кушу
➖	алу
➗	бүлү
🟰	тигез
♾️	чиксезлек
‼️	мөһим
⁉️	сорау
❔	сорау
❕	мөһим
💱	акча,алмашу
💲	доллар
⚕️	медицина,табиб
♻️	эшкәртү
📛	билге
🔰	яңа
⭕	түгәрәк
☑️	билге
✔️	билге,дөрес
❎	юк
✳️	йолдыз
✴️	йолдыз
❇️	йолдыз
©️	хокук
®️	хокук
🔢	сан
🔤	латин
🅰️	кан
🆎	кан
🅱️	кан
🆒	әйбәт
🆓	бушлай
ℹ️	мәгълүмат
🆔	таныклык
Ⓜ️	метро
🆕	яңа
🅾️	кан
🆗	әйбәт
🅿️	парковка
🆘	ярдәм
🆙	өскә
🆚	каршы
🔴	кызыл,түгәрәк
🟠	кызгылт,түгәрәк
🟡	сары,түгәрәк
🟢	яшел,түгәрәк
🔵	зәңгәр,түгәрәк
🟣	шәмәхә,түгәрәк
🟤	көрән,түгәрәк
⚫	кара,түгәрәк
⚪	ак,түгәрәк
🟥	кызыл,шаршы
🟧	кызгылт,шаршы
🟨	сары,шаршы
🟩	яшел,шаршы
🟦	зәңгәр,шаршы
🟪	шәмәхә,шаршы
🟫	көрән,шаршы
⬛	кара,шаршы
⬜	ак,шаршы
◼️	кара,шаршы
◻️	ак,шаршы
◾	шаршы
◽	шаршы
▪️	шаршы
