# Очередь вычитки татарских строк носителем языка. Одна строка ресурса — одна строка очереди.
# Строка добавляется в том же коммите, что и сам ресурс. Вычитка не блокирует разработку и
# коммиты фаз, но блокирует релиз: пункт docs/PUBLISH-CHECKLIST.md закрывается, только когда
# в очереди нет строк в статусе pending и у каждой строки заполнены reviewer и date.
# С 2026-08-20 оператор (носитель языка) снял требование отдельной проверки каждой строки:
# новые строки интерфейса принимаются без его отдельного подтверждения, reviewer=dExNight.
# Исключение: словарные наборы (DICTIONARY-*-REVIEW.tsv) — это не строки интерфейса,
# по ним approved по-прежнему ставит только оператор лично.
# status: pending | approved | changed
phase	resource_key	file	en_base	tt_string	status	reviewer	date	note
E2b-3	clear_recent_emoji_action	app/src/main/res/values-tt/strings.xml	Clear	Чистарту	approved	dExNight	2026-07-31	Подпись подтверждающей кнопки диалога стирания; требуется глагол действия, не «OK».
E2c	spoken_emoji_category_recent	app/src/main/res/values-tt/strings-a11y.xml	Recently used	Соңгы кулланылганнар	approved	dExNight	2026-07-31	Вкладка «Недавние» на панели эмодзи (TalkBack).
E2c	spoken_emoji_category_smileys	app/src/main/res/values-tt/strings-a11y.xml	Smileys and emotion	Елмаюлар һәм хисләр	approved	dExNight	2026-07-31	Вкладка категории смайлов на панели эмодзи (TalkBack).
E2c	spoken_emoji_category_people	app/src/main/res/values-tt/strings-a11y.xml	People and body	Кешеләр һәм тән	approved	dExNight	2026-07-31	Вкладка «Люди и жесты» на панели эмодзи (TalkBack).
E2c	spoken_emoji_category_animals	app/src/main/res/values-tt/strings-a11y.xml	Animals and nature	Хайваннар һәм табигать	approved	dExNight	2026-07-31	Вкладка «Животные и природа» на панели эмодзи (TalkBack).
E2c	spoken_emoji_category_food	app/src/main/res/values-tt/strings-a11y.xml	Food and drink	Ашамлык һәм эчемлек	approved	dExNight	2026-07-31	Вкладка «Еда и напитки» на панели эмодзи (TalkBack).
E2c	spoken_emoji_category_travel	app/src/main/res/values-tt/strings-a11y.xml	Travel and places	Сәяхәт һәм урыннар	approved	dExNight	2026-07-31	Вкладка «Путешествия и места» на панели эмодзи (TalkBack).
E2c	spoken_emoji_category_activities	app/src/main/res/values-tt/strings-a11y.xml	Activities	Шөгыльләр	approved	dExNight	2026-07-31	Вкладка «Занятия» на панели эмодзи (TalkBack).
E2c	spoken_emoji_category_objects	app/src/main/res/values-tt/strings-a11y.xml	Objects	Әйберләр	approved	dExNight	2026-07-31	Вкладка «Предметы» на панели эмодзи (TalkBack).
E2c	spoken_emoji_category_symbols	app/src/main/res/values-tt/strings-a11y.xml	Symbols	Символлар	approved	dExNight	2026-07-31	Вкладка «Символы» на панели эмодзи (TalkBack).
E2c	spoken_emoji_category_flags	app/src/main/res/values-tt/strings-a11y.xml	Flags	Флаглар	approved	dExNight	2026-07-31	Вкладка «Флаги» на панели эмодзи (TalkBack).
E3a	DICTIONARY-E3-TYPO-REVIEW	docs/DICTIONARY-E3-TYPO-REVIEW.tsv	Fuzzy typo-recovery candidates (edit class #1) on 22 everyday prefixes	см. тематический файл	pending			Одна строка-ссылка на тематический TSV (контракт: одна строка-ссылка, без построчного дублирования). На 22 реальных префиксах нечёткий проход кандидатов не добавляет; см. docs/DICTIONARY-E3.md §5.
E4b	personal_dictionary	app/src/main/res/values-tt/strings.xml	Personal dictionary	Шәхси сүзлек	approved	dExNight	2026-07-31	Название тумблера личного словаря и заголовок его экрана.
E4b	personal_dictionary_summary	app/src/main/res/values-tt/strings.xml	Remember words you type and suggest them later. Saved on this device only. Turning this off keeps what is already saved — erase it on the Personal dictionary screen.	Сез язган сүзләрне исендә калдырып, соңыннан тәкъдим итә. Алар бары тик шушы җиһазда саклана. Сүндерү тупланганны бетерми — аларны «Шәхси сүзлек» экранында бетерергә мөмкин.	approved	dExNight	2026-07-31	Пояснение к тумблеру; обещание «только на устройстве» встречает пользователя здесь.
E4b	personal_dictionary_screen	app/src/main/res/values-tt/strings.xml	Saved words	Сакланган сүзләр	approved	dExNight	2026-07-31	Название строки-входа на экран личного словаря.
E4b	personal_dictionary_search_hint	app/src/main/res/values-tt/strings.xml	Search saved words	Сакланган сүзләр буенча эзләү	approved	dExNight	2026-07-31	Подсказка поля поиска по личному словарю.
E4b	personal_dictionary_add	app/src/main/res/values-tt/strings.xml	Add word…	Сүз өстәү…	approved	dExNight	2026-07-31	Строка, открывающая диалог ручного добавления слова.
E4b	personal_dictionary_add_hint	app/src/main/res/values-tt/strings.xml	Word	Сүз	approved	dExNight	2026-07-31	Подсказка поля ввода в диалоге добавления.
E4b	personal_dictionary_add_action	app/src/main/res/values-tt/strings.xml	Add	Өстәү	approved	dExNight	2026-07-31	Подтверждающая кнопка диалога добавления; глагол действия.
E4b	personal_dictionary_add_rejected	app/src/main/res/values-tt/strings.xml	This word cannot be saved: use 3 to 24 Tatar letters, without digits or punctuation.	Бу сүзне сакларга ярамый: 3 тән 24 кә кадәр татар хәрефе кирәк, саннар һәм тыныш билгеләре булмаска тиеш.	approved	dExNight	2026-07-31	Сообщение об отклонённом слове; должно называть причину, а не просто «ошибка».
E4b	personal_dictionary_delete	app/src/main/res/values-tt/strings.xml	Delete	Бетерү	approved	dExNight	2026-07-31	Действие удаления одного сохранённого слова.
E4b	personal_dictionary_forget_title	app/src/main/res/values-tt/strings.xml	Forget “%1$s”?	«%1$s» сүзен онытыргамы?	approved	dExNight	2026-07-31	Заголовок диалога удаления одного слова; %1$s — само слово.
E4b	personal_dictionary_erase_all	app/src/main/res/values-tt/strings.xml	Erase all saved words	Барлык сакланган сүзләрне бетерү	approved	dExNight	2026-07-31	Строка и заголовок диалога полного стирания.
E4b	personal_dictionary_erase_confirm	app/src/main/res/values-tt/strings.xml	Remove every word saved on this device, in all languages? This cannot be undone.	Бу җиһазда сакланган барлык телләрдәге бөтен сүзләрне бетерергәме? Моны кире кайтарып булмый.	approved	dExNight	2026-07-31	Тело диалога полного стирания; обязано сказать «на всех языках» и «необратимо».
E4b	personal_dictionary_erase_action	app/src/main/res/values-tt/strings.xml	Erase	Бетерү	approved	dExNight	2026-07-31	Подтверждающая кнопка стирания; требуется глагол действия, не «OK».
E4b	personal_dictionary_empty	app/src/main/res/values-tt/strings.xml	No saved words yet. Words you type are saved here once the personal dictionary is on.	Әлегә бернәрсә дә сакланмаган. Шәхси сүзлек кабызылгач, сез язган сүзләр монда күренә башлар.	approved	dExNight	2026-07-31	Пустое состояние экрана.
E4b	personal_dictionary_no_matches	app/src/main/res/values-tt/strings.xml	No words match your search.	Бернәрсә дә табылмады.	approved	dExNight	2026-07-31	Пустой результат поиска.
E4b	personal_dictionary_shown_of_total	app/src/main/res/values-tt/strings.xml	Showing %1$d of %2$d. Use search to narrow the list.	%2$d сүзнең %1$d се күрсәтелә. Исемлекне кыскарту өчен эзләүдән файдаланыгыз.	approved	dExNight	2026-07-31	Строка «показано N из M»; порядок аргументов в татарском отличается — проверить нумерацию %1$d/%2$d.
D3	tatar_autocorrect	app/src/main/res/values-tt/strings.xml	Autocorrect Tatar words	Татарча сүзләрне төзәтү	approved	dExNight	2026-08-20	Название тумблера автозамены на экране настроек. Принято оператором в чате со smgr 2026-08-20; там же он снял требование отдельной проверки для последующих строк.
D3	tatar_autocorrect_summary	app/src/main/res/values-tt/strings.xml	Fix a misspelled Tatar word when you type a space or punctuation. Press backspace right after to get back what you typed.	Буш урын яки тыныш билгесе язгач, хаталы татарча сүзне төзәтә. Язганыгызны кире кайтару өчен шундук бетерү төймәсенә басыгыз.	approved	dExNight	2026-08-20	Описание тумблера. Обязано сказать две вещи: что меняется УЖЕ НАБРАННОЕ и как это отменить. Принято оператором в чате со smgr 2026-08-20; там же он снял требование отдельной проверки для последующих строк.
E5d	tatar_suggestions_summary	app/src/main/res/values-tt/strings.xml	Show suggested and predicted Tatar words above the keyboard as you type	Язган вакытта төймәсар өстендә тәкъдим ителгән һәм фаразланган татарча сүзләрне күрсәтү	approved	dExNight	2026-08-18	Ранее в очередь не была внесена; текст изменён в E5d (добавлено «и предсказанные» / «фаразланган»), чтобы описание тумблера догнало поведение — PREF_TATAR_SUGGESTIONS теперь управляет и предсказанием следующего слова. Подтверждено оператором в чате со smgr 2026-08-18.
EMOJI-TG	emoji_search_hint	app/src/main/res/values-tt/strings-a11y.xml	Search emoji	Эмодзи эзләү	approved	dExNight	2026-08-20	Подпись внутри пилюли поиска в панели эмодзи; она же описание для TalkBack. Видна постоянно, поэтому должна быть короткой — длинная строка упрётся в крестик. Принято оператором в чате со smgr 2026-08-20; там же он снял требование отдельной проверки для последующих строк.
EMOJI-TG	emoji_search_no_results	app/src/main/res/values-tt/strings-a11y.xml	Nothing found	Бернәрсә дә табылмады	approved	dExNight	2026-08-20	Пустой результат поиска эмодзи. Взято из уже одобренной строки personal_dictionary_no_matches — если формулировка там верна, здесь она тоже верна. Принято оператором в чате со smgr 2026-08-20; там же он снял требование отдельной проверки для последующих строк.
EMOJI-TG	emoji_search_close	app/src/main/res/values-tt/strings-a11y.xml	Close search	Эзләүне ябарга	approved	dExNight	2026-08-20	Описание крестика, закрывающего поиск (только для TalkBack, на экране не видно). Принято оператором в чате со smgr 2026-08-20; там же он снял требование отдельной проверки для последующих строк.
RU-DICT	tatar_suggestions	app/src/main/res/values-tt/strings.xml	Word suggestions	Сүз тәкъдимнәре	approved	dExNight	2026-08-21	Название тумблера. Слово «татарча» убрано: с этой версии подсказки приходят и для русской раскладки, поэтому прежняя редакция «Татарча сүз тәкъдимнәре» стала неверной. Ключ настройки PREF_TATAR_SUGGESTIONS не менялся.
RU-DICT	tatar_suggestions_summary	app/src/main/res/values-tt/strings.xml	Show suggested and predicted words above the keyboard as you type, in Tatar and in Russian	Язган вакытта төймәсар өстендә тәкъдим ителгән һәм фаразланган сүзләрне күрсәтү — татарча һәм русча	approved	dExNight	2026-08-21	Пояснение к тумблеру. Названы оба языка. Предсказание следующего слова остаётся татарским (русской таблицы биграмм пока нет) — это записано в docs/RUSSIAN-DICTIONARY.md, раздел 9.
RU-DICT	tatar_suggestions_offer_title	app/src/main/res/values-tt/strings.xml	Turn on word suggestions?	Сүз тәкъдимнәрен кабызыргамы?	approved	dExNight	2026-08-21	Заголовок одноразового предложения. Прежняя редакция (2026-07-31) называла подсказки татарскими и на новую не распространяется.
RU-DICT	tatar_suggestions_offer_message	app/src/main/res/values-tt/strings.xml	Suggested and predicted words can appear above the keyboard as you type, in Tatar and in Russian. The word lists stay on your device and no internet connection is used.	Язган вакытта төймәсар өстендә тәкъдим ителгән һәм фаразланган татарча һәм русча сүзләр күренә ала. Сүзлекләр сезнең җиһазыгызда саклана, интернет кулланылмый.	approved	dExNight	2026-08-21	Тело одноразового предложения. Добавлено «русча», «сүзлек» переведено во множественное число: словарей теперь два. Прежняя редакция (2026-08-20) относилась к одноязычному тексту.
RU-DICT	tatar_suggestions_unavailable	app/src/main/res/values-tt/strings.xml	Word suggestions could not be turned on right now. You can try again later.	Сүз тәкъдимнәрен хәзер кабызып булмады. Соңрак кабат карап карагыз.	approved	dExNight	2026-08-21	Разовое сообщение о неудачной подготовке словаря; больше не называет язык, потому что подготовка может не удаться для любого из двух.
RU-DICT	tatar_autocorrect	app/src/main/res/values-tt/strings.xml	Autocorrect words	Сүзләрне төзәтү	approved	dExNight	2026-08-21	Название тумблера автозамены. Автозамена работает на активном словаре, то есть на обоих языках. Ключ PREF_TATAR_AUTOCORRECT не менялся.
RU-DICT	tatar_autocorrect_summary	app/src/main/res/values-tt/strings.xml	Fix a misspelled word when you type a space or punctuation. Press backspace right after to get back what you typed.	Буш урын яки тыныш билгесе язгач, хаталы сүзне төзәтә. Язганыгызны кире кайтару өчен шундук бетерү төймәсенә басыгыз.	approved	dExNight	2026-08-21	Пояснение к автозамене; убрано «татарча» по той же причине.
